+-----------------------------------------------------------------------+
| TRACE AXES      type machine: ROBOMAC          no: 513583             |
+-----------------------------------------------------------------------+

Wed Mar 22 17:56:15 2017

Trigger time : 64775275

;Time;interpol;;Eana14;;Eana15;;mode 0;m_pos 0;des_pos 0;des_speed 0;x1r 0;r_speed 0;couple 0;pos_mot 0;mot_speed 0;pos_ext 0;ext_speed 0;
;64775366;1;;994;;994;;21;-433689076;4872848;-2112.00;4879600;-2000.00;-3;4936874;-2143.00;2215433;-10.00;
;64775367;1;;993;;994;;21;-433689076;4870736;-2112.00;4877400;-2200.00;-3;4934738;-2136.00;2215422;-11.00;
;64775368;1;;993;;994;;21;-433689076;4868624;-2112.00;4875400;-2000.00;-3;4932602;-2136.00;2215412;-10.00;
;64775369;1;;992;;994;;21;-433689076;4866512;-2112.00;4873200;-2200.00;-3;4930475;-2127.00;2215401;-11.00;
;64775370;1;;991;;992;;21;-433689076;4864400;-2112.00;4871200;-2000.00;-4;4928351;-2124.00;2215391;-10.00;
;64775371;1;;991;;992;;21;-433689076;4862288;-2112.00;4869000;-2200.00;-4;4926223;-2128.00;2215380;-11.00;
;64775372;1;;993;;992;;21;-433689076;4860176;-2112.00;4867000;-2000.00;-4;4924094;-2129.00;2215370;-10.00;
;64775373;1;;993;;992;;21;-433689076;4858064;-2112.00;4864800;-2200.00;-4;4921960;-2134.00;2215359;-11.00;
;64775374;1;;993;;992;;21;-433689076;4855952;-2112.00;4862800;-2000.00;-4;4919822;-2138.00;2215349;-10.00;
;64775375;1;;993;;992;;21;-433689076;4853840;-2112.00;4860600;-2200.00;-4;4917682;-2140.00;2215338;-11.00;
;64775376;1;;993;;992;;21;-433689076;4851728;-2112.00;4858400;-2200.00;-4;4915542;-2140.00;2215327;-11.00;
;64775377;1;;993;;992;;21;-433689076;4849616;-2112.00;4856200;-2200.00;-4;4913406;-2136.00;2215316;-11.00;
;64775378;1;;993;;992;;21;-433689076;4847504;-2112.00;4854200;-2000.00;-4;4911266;-2140.00;2215306;-10.00;
;64775379;1;;993;;992;;21;-433689076;4845392;-2112.00;4852000;-2200.00;-4;4909123;-2143.00;2215295;-11.00;
;64775380;1;;993;;992;;21;-433689076;4843280;-2112.00;4850000;-2000.00;-3;4906989;-2134.00;2215285;-10.00;
;64775381;1;;993;;992;;21;-433689076;4841168;-2112.00;4847800;-2200.00;-3;4904867;-2122.00;2215274;-11.00;
;64775382;1;;993;;992;;21;-433689076;4839056;-2112.00;4845800;-2000.00;-4;4902748;-2119.00;2215264;-10.00;
;64775383;1;;994;;992;;21;-433689076;4836944;-2112.00;4843600;-2200.00;-4;4900622;-2126.00;2215253;-11.00;
;64775384;1;;993;;993;;21;-433689076;4834832;-2112.00;4841600;-2000.00;-4;4898483;-2139.00;2215243;-10.00;
;64775385;1;;991;;992;;21;-433689076;4832720;-2112.00;4839400;-2200.00;-4;4896346;-2137.00;2215232;-11.00;
;64775386;1;;991;;992;;21;-433689076;4830608;-2112.00;4837400;-2000.00;-4;4894211;-2135.00;2215222;-10.00;
;64775387;1;;991;;992;;21;-433689076;4828496;-2112.00;4835200;-2200.00;-3;4892075;-2136.00;2215211;-11.00;
;64775388;1;;992;;993;;21;-433689076;4826384;-2112.00;4833200;-2000.00;-4;4889941;-2134.00;2215201;-10.00;
;64775389;1;;992;;992;;21;-433689076;4824272;-2112.00;4831000;-2200.00;-3;4887806;-2135.00;2215190;-11.00;
;64775390;1;;993;;992;;21;-433689076;4822160;-2112.00;4829000;-2000.00;-4;4885672;-2134.00;2215180;-10.00;
;64775391;1;;993;;993;;21;-433689076;4820048;-2112.00;4826800;-2200.00;-4;4883533;-2139.00;2215169;-11.00;
;64775392;1;;993;;993;;21;-433689076;4817936;-2112.00;4824600;-2200.00;-4;4881393;-2140.00;2215158;-11.00;
;64775393;1;;993;;993;;21;-433689076;4815824;-2112.00;4822600;-2000.00;-3;4879253;-2140.00;2215148;-10.00;
;64775394;1;;993;;993;;21;-433689076;4813712;-2112.00;4820600;-2000.00;-4;4877114;-2139.00;2215138;-10.00;
;64775395;1;;993;;993;;21;-433689076;4811600;-2112.00;4818400;-2200.00;-3;4874975;-2139.00;2215127;-11.00;
;64775396;1;;992;;993;;21;-433689076;4809488;-2112.00;4816200;-2200.00;-3;4872846;-2129.00;2215116;-11.00;
;64775397;1;;992;;993;;21;-433689076;4807376;-2112.00;4814200;-2000.00;-4;4870717;-2129.00;2215106;-10.00;
;64775398;1;;991;;992;;21;-433689076;4805264;-2112.00;4812200;-2000.00;-5;4868578;-2139.00;2215096;-10.00;
;64775399;1;;991;;993;;21;-433689076;4803152;-2112.00;4810000;-2200.00;-4;4866430;-2148.00;2215085;-11.00;
;64775400;1;;994;;992;;21;-433689076;4801040;-2112.00;4808000;-2000.00;-3;4864289;-2141.00;2215075;-10.00;
;64775401;1;;994;;993;;21;-433689076;4798928;-2112.00;4805800;-2200.00;-4;4862154;-2135.00;2215064;-11.00;
;64775402;1;;993;;992;;21;-433689076;4796816;-2112.00;4803800;-2000.00;-4;4860013;-2141.00;2215054;-10.00;
